review_id,date,overall_rating,traveler_type,nationality,stay_duration,comments,location_rating,cleanliness_rating,service_rating,value_rating,facilities_rating,comfort_rating
RV0001,2023-11-24,1,Couple,Portuguese,7,Room could be larger,1,1,2,1,1,1
RV0002,2023-05-21,5,Couple,German,1,Excellent staff,5,5,4,5,5,5
RV0003,2023-03-13,3,Couple,French,3,Expensive drinks,3,3,2,3,2,3
RV0004,2023-10-07,4,Couple,German,4,Good breakfast,5,4,4,4,4,3
RV0005,2023-08-05,4,Family,Portuguese,6,Great location near the beach,4,4,4,4,5,4
RV0006,2023-02-17,5,Family,Dutch,5,Excellent staff,4,5,4,5,4,5
RV0007,2023-09-16,5,Friends,Other,1,Great location near the beach; Good breakfast; Excellent staff,5,5,5,5,4,5
RV0008,2023-11-29,5,Solo,British,6,Good breakfast; Beautiful pool area; Excellent staff,5,5,5,5,5,5
RV0009,2023-08-18,2,Couple,German,6,Noise from street; Room could be larger; WiFi issues,1,2,1,3,2,2
RV0010,2023-12-24,4,Business,Other,3,Clean rooms; Comfortable beds,4,4,3,4,4,4
RV0011,2023-03-21,5,Business,Portuguese,2,Clean rooms,5,4,5,5,4,4
RV0012,2023-02-22,4,Friends,Spanish,2,Beautiful pool area,3,3,3,3,3,4
RV0013,2023-02-19,4,Couple,Portuguese,2,Clean rooms; Good breakfast,5,4,5,5,3,4
RV0014,2023-05-16,5,Couple,Spanish,3,Comfortable beds,5,5,5,4,5,5
RV0015,2023-08-24,4,Couple,Dutch,8,Great location near the beach; Beautiful pool area; Comfortable beds,5,4,4,4,4,4
RV0016,2023-10-10,5,Couple,Spanish,4,Comfortable beds; Good breakfast,5,5,5,5,4,4
RV0017,2023-07-05,3,Couple,French,4,Slow check-in,3,2,1,3,4,3
RV0018,2023-02-05,4,Solo,French,5,Comfortable beds,4,4,4,4,4,4
RV0019,2023-04-27,5,Solo,Dutch,4,Great location near the beach; Excellent staff,5,5,5,5,5,5
RV0020,2023-02-21,1,Family,Spanish,2,Noise from street; Limited parking,1,1,1,1,1,1
RV0021,2023-11-22,5,Couple,British,5,Excellent staff; Clean rooms,5,5,5,4,5,5
RV0022,2023-07-01,2,Couple,Portuguese,3,Slow check-in,1,2,2,2,2,2
RV0023,2023-05-17,4,Business,French,3,Comfortable beds; Great location near the beach; Excellent staff,4,5,3,4,3,4
RV0024,2023-10-01,3,Family,British,3,Clean rooms,4,4,3,2,3,3
RV0025,2023-08-25,5,Couple,Dutch,4,Clean rooms; Good breakfast,5,5,5,5,5,5
RV0026,2023-04-23,5,Family,Portuguese,1,Clean rooms; Great location near the beach; Excellent staff,5,5,5,5,5,5
RV0027,2023-01-17,5,Family,Portuguese,4,Beautiful pool area; Clean rooms,5,5,4,5,5,5
RV0028,2023-02-03,2,Couple,British,4,Expensive drinks,1,2,2,2,2,2
RV0029,2023-06-11,5,Couple,Portuguese,9,Comfortable beds,5,4,5,5,5,5
RV0030,2023-09-13,3,Couple,Portuguese,2,Expensive drinks; WiFi issues,4,3,3,4,3,3
RV0031,2023-03-15,4,Couple,French,5,Excellent staff; Comfortable beds,4,3,4,4,4,4
RV0032,2023-10-15,2,Solo,Portuguese,7,Noise from street; Expensive drinks; Limited parking,3,2,2,2,2,3
RV0033,2023-10-26,4,Couple,Portuguese,2,Clean rooms; Excellent staff,4,5,4,5,4,4
RV0034,2023-03-12,5,Business,Portuguese,10,Beautiful pool area; Great location near the beach; Good breakfast,4,5,5,5,5,5
RV0035,2023-02-26,5,Business,Spanish,4,Comfortable beds,4,5,5,5,5,5
RV0036,2023-03-23,4,Family,Other,3,Beautiful pool area; Good breakfast; Great location near the beach,3,5,4,5,3,4
RV0037,2023-07-17,5,Family,Portuguese,7,Good breakfast; Beautiful pool area,5,5,5,5,5,5
RV0038,2023-09-28,4,Couple,French,3,Good breakfast; Great location near the beach,3,4,3,4,4,4
RV0039,2023-12-15,5,Couple,French,5,Great location near the beach; Good breakfast; Clean rooms,4,5,4,5,5,5
RV0040,2023-11-25,3,Solo,Portuguese,2,Excellent staff; Good breakfast,3,4,4,3,3,4
RV0041,2023-08-11,4,Family,Portuguese,2,Beautiful pool area,4,4,4,3,4,4
RV0042,2023-01-02,5,Business,Portuguese,1,Comfortable beds; Clean rooms; Excellent staff,5,5,5,5,4,5
RV0043,2023-09-17,4,Couple,French,6,Comfortable beds,4,4,4,4,5,4
RV0044,2023-06-02,5,Friends,French,5,Good breakfast; Comfortable beds; Excellent staff,5,5,5,5,5,5
RV0045,2023-03-20,3,Business,German,5,Clean rooms; Noise from street,2,4,3,3,4,3
RV0046,2023-09-29,5,Family,Spanish,2,Good breakfast,4,5,5,5,5,5
RV0047,2023-06-15,4,Couple,Portuguese,2,Great location near the beach; Comfortable beds,3,3,4,5,3,4
RV0048,2023-07-05,5,Family,Portuguese,3,Excellent staff; Great location near the beach,5,5,4,5,5,5
RV0049,2023-05-04,4,Business,Other,1,Great location near the beach; Comfortable beds; Beautiful pool area,5,3,5,4,4,4
RV0050,2023-02-05,3,Couple,British,3,Clean rooms,3,3,3,3,3,3
RV0051,2023-12-04,5,Couple,Portuguese,5,Good breakfast; Excellent staff,4,5,5,5,5,4
RV0052,2023-05-16,3,Family,Portuguese,5,Beautiful pool area; Noise from street,4,3,3,3,4,3
RV0053,2023-12-20,5,Family,Dutch,7,Comfortable beds,5,5,5,5,5,4
RV0054,2023-06-09,4,Couple,French,4,Comfortable beds; Clean rooms,4,4,4,4,5,4
RV0055,2023-08-13,5,Family,Portuguese,3,Beautiful pool area; Great location near the beach; Excellent staff,5,5,5,5,5,5
RV0056,2023-04-26,5,Business,French,10,Clean rooms,5,5,5,5,4,4
RV0057,2023-01-11,3,Couple,Portuguese,4,Limited parking,3,3,2,3,2,3
RV0058,2023-04-23,2,Couple,British,5,Room could be larger,2,2,3,2,2,3
RV0059,2023-12-29,5,Friends,Portuguese,5,Great location near the beach; Excellent staff; Comfortable beds,5,5,5,5,5,5
RV0060,2023-01-17,3,Business,Other,3,Excellent staff; Noise from street,3,3,4,3,4,2
RV0061,2023-05-02,4,Business,Portuguese,6,Comfortable beds; Beautiful pool area,4,4,4,5,4,4
RV0062,2023-04-20,5,Couple,British,4,Excellent staff; Good breakfast; Beautiful pool area,4,5,5,5,5,5
RV0063,2023-05-05,5,Friends,Portuguese,6,Beautiful pool area; Excellent staff,5,5,5,5,5,5
RV0064,2023-02-18,4,Business,British,9,Comfortable beds,4,4,4,4,3,4
RV0065,2023-08-09,5,Family,British,2,Beautiful pool area; Comfortable beds,5,5,5,5,5,5
RV0066,2023-08-28,4,Couple,French,3,Great location near the beach; Comfortable beds; Good breakfast,4,4,3,4,3,4
RV0067,2023-07-26,5,Couple,British,2,Clean rooms; Great location near the beach; Excellent staff,5,5,5,5,5,5
RV0068,2023-04-09,5,Family,Portuguese,7,Good breakfast,5,5,4,5,5,5
RV0069,2023-08-18,4,Couple,British,4,Beautiful pool area,4,3,5,4,4,4
RV0070,2023-04-04,1,Family,German,6,Limited parking; WiFi issues,1,1,1,1,1,1
RV0071,2023-02-08,3,Couple,German,6,Noise from street; Excellent staff,2,3,4,3,2,3
RV0072,2023-01-26,5,Family,French,7,Good breakfast; Great location near the beach; Comfortable beds,5,4,4,5,5,5
RV0073,2023-05-02,5,Business,Portuguese,2,Beautiful pool area,5,5,4,5,5,5
RV0074,2023-09-06,5,Couple,Portuguese,2,Excellent staff; Beautiful pool area,5,5,5,4,5,5
RV0075,2023-01-31,5,Couple,French,6,Beautiful pool area,5,5,5,5,4,5
RV0076,2023-01-02,5,Business,Portuguese,3,Clean rooms; Beautiful pool area,5,5,5,5,5,5
RV0077,2023-05-27,5,Couple,Portuguese,2,Comfortable beds; Good breakfast,5,4,4,4,5,5
RV0078,2023-12-05,5,Family,Dutch,5,Beautiful pool area; Excellent staff; Good breakfast,4,5,5,5,5,5
RV0079,2023-06-01,5,Business,Spanish,3,Great location near the beach,4,5,5,5,5,5
RV0080,2023-10-24,4,Family,French,7,Good breakfast; Great location near the beach; Clean rooms,4,4,5,5,3,4
RV0081,2023-01-30,5,Friends,Portuguese,4,Good breakfast,5,5,5,5,5,5
RV0082,2023-09-02,5,Business,German,1,Good breakfast; Excellent staff; Great location near the beach,5,4,5,5,5,4
RV0083,2023-09-18,5,Business,Dutch,4,Excellent staff,4,4,5,5,5,4
RV0084,2023-02-05,4,Family,French,2,Great location near the beach; Excellent staff; Beautiful pool area,5,4,5,4,4,4
RV0085,2023-03-03,5,Solo,German,2,Excellent staff; Good breakfast; Great location near the beach,5,5,5,5,5,5
RV0086,2023-11-14,2,Couple,British,4,Limited parking,3,2,2,2,1,2
RV0087,2023-12-03,3,Business,Portuguese,4,Good breakfast; Beautiful pool area,3,2,3,3,4,2
RV0088,2023-12-09,5,Couple,Portuguese,6,Clean rooms; Excellent staff; Comfortable beds,5,4,4,5,4,4
RV0089,2023-07-22,4,Solo,German,4,Comfortable beds,3,4,5,4,4,4
RV0090,2023-11-27,3,Couple,French,2,WiFi issues; Comfortable beds,3,3,2,3,3,3
RV0091,2023-02-07,5,Couple,British,6,Beautiful pool area,5,5,5,5,5,5
RV0092,2023-11-15,4,Solo,Portuguese,5,Great location near the beach; Comfortable beds; Excellent staff,4,4,4,3,3,3
RV0093,2023-09-17,5,Friends,British,5,Excellent staff; Clean rooms,5,5,5,5,5,5
RV0094,2023-02-05,3,Couple,Portuguese,3,Comfortable beds,2,4,3,3,3,3
RV0095,2023-05-26,5,Couple,German,4,Beautiful pool area,5,5,5,5,5,5
RV0096,2023-10-06,3,Family,Spanish,4,Limited parking; Expensive drinks,3,4,4,2,3,3
RV0097,2023-09-28,2,Family,Portuguese,7,Slow check-in,2,2,2,2,3,2
RV0098,2023-10-11,5,Friends,German,4,Comfortable beds; Great location near the beach,5,5,5,5,5,5
RV0099,2023-03-10,3,Business,German,5,Excellent staff; Slow check-in,4,3,4,3,2,3
RV0100,2023-10-11,5,Couple,Dutch,7,Clean rooms,5,5,4,5,5,5
RV0101,2023-05-25,4,Family,Portuguese,7,Excellent staff; Clean rooms; Comfortable beds,4,4,4,4,4,3
RV0102,2023-12-18,5,Couple,Dutch,4,Clean rooms; Good breakfast; Beautiful pool area,5,5,5,5,5,5
RV0103,2023-05-09,3,Solo,Spanish,4,Excellent staff,3,3,4,3,3,3
RV0104,2023-11-21,5,Solo,British,2,Clean rooms; Great location near the beach,5,4,5,5,5,4
RV0105,2023-01-02,5,Family,British,6,Excellent staff; Clean rooms,5,5,5,4,5,5
RV0106,2023-03-24,4,Couple,Portuguese,7,Beautiful pool area; Good breakfast; Comfortable beds,4,4,4,4,5,3
RV0107,2023-10-15,4,Couple,Portuguese,3,Great location near the beach,4,4,5,5,3,4
RV0108,2023-02-08,5,Family,Portuguese,4,Excellent staff; Good breakfast; Great location near the beach,5,5,4,5,5,5
RV0109,2023-07-09,4,Couple,Spanish,7,Good breakfast; Excellent staff; Beautiful pool area,4,5,4,4,4,4
RV0110,2023-03-07,4,Couple,Dutch,2,Clean rooms,4,4,4,4,4,4
RV0111,2023-07-06,5,Couple,Spanish,1,Clean rooms,5,5,4,5,4,5
RV0112,2023-04-18,5,Couple,German,10,Excellent staff; Great location near the beach; Clean rooms,5,5,5,5,5,5
RV0113,2023-10-14,5,Solo,Dutch,4,Good breakfast; Excellent staff,5,5,5,5,5,5
RV0114,2023-05-02,4,Family,French,5,Excellent staff,3,4,5,4,4,4
RV0115,2023-07-31,5,Business,Other,5,Excellent staff,4,5,5,5,5,4
RV0116,2023-06-20,5,Couple,Portuguese,3,Comfortable beds; Excellent staff,5,5,5,5,5,4
RV0117,2023-05-17,5,Family,Portuguese,1,Comfortable beds,5,4,5,4,5,5
RV0118,2023-02-25,3,Couple,Portuguese,5,Great location near the beach; WiFi issues,4,3,3,4,3,3
RV0119,2023-04-24,3,Couple,British,4,WiFi issues,3,2,3,4,3,3
RV0120,2023-06-29,5,Business,Portuguese,3,Excellent staff; Comfortable beds,5,5,5,5,5,5
RV0121,2023-01-13,4,Business,French,3,Excellent staff; Beautiful pool area; Clean rooms,4,4,5,4,4,4
RV0122,2023-05-23,5,Couple,Portuguese,4,Clean rooms,5,5,5,5,5,5
RV0123,2023-06-29,4,Solo,French,4,Good breakfast; Beautiful pool area; Clean rooms,5,4,3,4,4,5
RV0124,2023-01-15,5,Solo,Other,4,Clean rooms,5,4,5,5,5,5
RV0125,2023-04-02,4,Couple,British,2,Clean rooms; Great location near the beach; Good breakfast,3,5,5,4,4,5
RV0126,2023-11-02,5,Couple,British,3,Clean rooms; Comfortable beds,5,5,5,5,4,5
RV0127,2023-08-12,5,Couple,German,8,Good breakfast; Great location near the beach; Beautiful pool area,4,5,5,5,5,4
RV0128,2023-10-23,4,Solo,French,6,Clean rooms,3,4,3,4,4,4
RV0129,2023-01-23,5,Family,Spanish,6,Beautiful pool area; Great location near the beach; Excellent staff,4,4,5,4,5,4
RV0130,2023-07-06,4,Couple,German,2,Great location near the beach; Clean rooms,3,4,3,4,4,4
RV0131,2023-11-16,4,Couple,British,1,Comfortable beds; Great location near the beach,4,5,4,4,5,5
RV0132,2023-06-03,4,Business,British,7,Clean rooms; Beautiful pool area; Comfortable beds,3,4,4,5,4,4
RV0133,2023-07-26,5,Couple,British,3,Clean rooms; Good breakfast; Excellent staff,5,4,5,5,5,5
RV0134,2023-04-09,5,Business,German,8,Comfortable beds; Beautiful pool area,5,4,5,5,5,5
RV0135,2023-12-13,3,Friends,Portuguese,4,Limited parking,4,3,3,4,4,3
RV0136,2023-10-19,5,Couple,Portuguese,8,Beautiful pool area; Good breakfast,5,5,5,5,5,5
RV0137,2023-01-01,1,Business,French,6,Noise from street; WiFi issues,1,1,1,1,1,1
RV0138,2023-08-09,5,Couple,British,2,Good breakfast; Clean rooms; Beautiful pool area,5,5,5,5,4,4
RV0139,2023-08-15,5,Business,Portuguese,2,Comfortable beds; Excellent staff,5,5,5,5,5,5
RV0140,2023-09-19,4,Friends,British,4,Comfortable beds; Excellent staff,4,4,4,4,4,4
RV0141,2023-12-04,4,Solo,German,4,Clean rooms,4,4,3,5,4,4
RV0142,2023-09-21,5,Solo,German,4,Comfortable beds; Good breakfast; Clean rooms,5,5,4,5,5,5
RV0143,2023-02-17,3,Couple,Spanish,3,Expensive drinks,3,3,2,3,3,3
RV0144,2023-06-08,1,Couple,British,3,WiFi issues,1,1,1,1,1,2
RV0145,2023-03-17,5,Friends,Portuguese,5,Great location near the beach,5,5,5,5,5,5
RV0146,2023-05-06,4,Business,Other,5,Good breakfast; Great location near the beach,5,3,4,4,4,4
RV0147,2023-08-22,4,Family,British,4,Comfortable beds; Good breakfast,4,4,4,4,4,4
RV0148,2023-04-10,3,Business,German,7,WiFi issues; Room could be larger,2,2,4,3,3,3
RV0149,2023-05-05,3,Couple,French,3,Expensive drinks,3,4,3,3,4,3
RV0150,2023-12-19,5,Solo,Portuguese,3,Great location near the beach,5,5,5,4,4,5
RV0151,2023-08-06,4,Family,Other,4,Excellent staff,4,3,4,3,4,4
RV0152,2023-12-23,5,Couple,Portuguese,3,Beautiful pool area; Great location near the beach; Excellent staff,5,5,5,5,5,5
RV0153,2023-03-04,5,Family,British,3,Excellent staff; Beautiful pool area,4,5,5,4,5,5
RV0154,2023-12-08,2,Friends,Other,6,Expensive drinks; Slow check-in; Noise from street,2,2,3,2,2,2
RV0155,2023-08-15,5,Couple,French,6,Comfortable beds; Good breakfast; Beautiful pool area,5,5,5,5,5,5
RV0156,2023-10-08,5,Couple,Other,3,Excellent staff; Beautiful pool area,5,5,4,5,4,5
RV0157,2023-08-19,4,Couple,German,5,Excellent staff; Clean rooms,4,4,3,4,4,4
RV0158,2023-09-24,3,Couple,British,3,Expensive drinks; Beautiful pool area,3,3,4,2,3,3
RV0159,2023-05-21,2,Family,Portuguese,5,Room could be larger; Noise from street,2,2,2,2,2,1
RV0160,2023-05-01,5,Business,Portuguese,5,Clean rooms; Comfortable beds,5,5,5,5,5,4
RV0161,2023-10-04,5,Couple,French,3,Excellent staff,5,4,5,5,5,5
RV0162,2023-03-19,4,Business,Portuguese,3,Beautiful pool area,4,4,4,4,4,4
RV0163,2023-12-22,4,Couple,Spanish,3,Comfortable beds,3,3,4,4,4,4
RV0164,2023-04-20,4,Couple,Portuguese,2,Beautiful pool area,5,3,4,4,3,4
RV0165,2023-07-28,5,Couple,Dutch,8,Good breakfast; Beautiful pool area,4,5,5,5,5,5
RV0166,2023-08-01,5,Couple,British,7,Excellent staff,5,5,5,3,5,4
RV0167,2023-08-04,3,Business,Spanish,5,Limited parking; Great location near the beach,3,3,4,3,3,3
RV0168,2023-10-22,3,Couple,Other,3,WiFi issues; Great location near the beach,3,4,3,2,3,2
RV0169,2023-06-30,4,Couple,British,5,Beautiful pool area; Comfortable beds,3,4,5,4,4,5
RV0170,2023-10-03,5,Family,French,2,Comfortable beds; Good breakfast; Excellent staff,5,4,5,4,5,5
RV0171,2023-09-07,5,Couple,German,4,Clean rooms,5,5,4,5,5,5
RV0172,2023-08-12,4,Solo,British,6,Great location near the beach; Beautiful pool area,5,4,4,4,5,4
RV0173,2023-06-22,3,Family,British,2,Slow check-in; Clean rooms,2,2,4,3,3,3
RV0174,2023-08-28,5,Solo,German,8,Good breakfast,5,5,5,5,5,4
RV0175,2023-10-01,2,Couple,Portuguese,7,Limited parking,3,2,2,2,2,3
RV0176,2023-10-31,3,Family,German,6,Excellent staff,2,2,3,3,3,3
RV0177,2023-11-26,5,Couple,Spanish,4,Excellent staff; Beautiful pool area,5,5,4,4,5,4
RV0178,2023-04-04,2,Couple,Other,5,Noise from street,2,2,3,2,2,2
RV0179,2023-07-14,5,Couple,British,9,Excellent staff; Beautiful pool area,4,5,5,5,5,5
RV0180,2023-06-17,2,Couple,British,3,Limited parking; Noise from street,1,2,3,2,2,3
RV0181,2023-08-04,3,Couple,Portuguese,8,Excellent staff; WiFi issues,2,3,3,2,3,3
RV0182,2023-01-10,4,Family,British,3,Good breakfast; Great location near the beach; Clean rooms,4,4,5,5,5,5
RV0183,2023-04-25,5,Couple,German,3,Great location near the beach; Comfortable beds; Good breakfast,5,5,5,5,5,5
RV0184,2023-05-07,4,Business,Other,4,Great location near the beach,4,4,4,4,4,4
RV0185,2023-11-15,4,Couple,French,2,Excellent staff,5,4,4,4,5,5
RV0186,2023-03-06,3,Family,French,2,Expensive drinks; Excellent staff,3,3,3,3,4,3
RV0187,2023-10-16,5,Business,German,2,Beautiful pool area,5,5,4,5,5,5
RV0188,2023-12-25,4,Business,Spanish,4,Clean rooms; Excellent staff,4,4,3,4,4,4
RV0189,2023-11-07,5,Couple,Dutch,3,Comfortable beds; Great location near the beach; Excellent staff,5,4,4,4,5,5
RV0190,2023-06-09,4,Family,French,3,Good breakfast,4,4,4,4,4,4
RV0191,2023-01-14,3,Couple,British,3,Limited parking; Expensive drinks,3,2,3,3,3,3
RV0192,2023-07-12,4,Friends,Other,3,Comfortable beds; Excellent staff,3,4,5,4,4,5
RV0193,2023-02-08,4,Solo,French,6,Comfortable beds; Excellent staff; Great location near the beach,4,4,5,3,3,4
RV0194,2023-12-23,5,Business,Portuguese,2,Comfortable beds; Good breakfast,5,5,4,5,5,5
RV0195,2023-03-03,3,Couple,German,5,Comfortable beds,3,4,3,3,3,3
RV0196,2023-09-30,4,Family,British,4,Comfortable beds; Clean rooms,4,4,4,4,4,4
RV0197,2023-02-05,4,Family,German,2,Comfortable beds; Clean rooms; Great location near the beach,5,5,4,3,5,4
RV0198,2023-08-04,5,Solo,Portuguese,4,Great location near the beach; Beautiful pool area,5,5,5,5,5,4
RV0199,2023-07-05,4,Couple,Spanish,4,Beautiful pool area; Excellent staff; Comfortable beds,4,4,5,4,3,4
RV0200,2023-04-01,5,Couple,Dutch,7,Good breakfast; Clean rooms; Beautiful pool area,5,5,4,5,5,5
RV0201,2023-08-27,4,Couple,French,2,Comfortable beds; Good breakfast,4,4,4,4,4,4
RV0202,2023-05-18,4,Couple,British,4,Excellent staff; Great location near the beach,4,5,3,4,3,3
RV0203,2023-05-23,5,Couple,Spanish,4,Excellent staff; Beautiful pool area,5,5,5,5,5,5
RV0204,2023-10-19,5,Business,Portuguese,2,Comfortable beds; Beautiful pool area; Clean rooms,5,5,4,5,5,5
RV0205,2023-01-15,5,Family,French,2,Clean rooms; Excellent staff,5,5,5,5,5,5
RV0206,2023-09-07,4,Family,Other,4,Clean rooms,4,4,4,3,4,4
RV0207,2023-05-13,3,Couple,French,3,Good breakfast; Limited parking,3,3,4,3,4,3
RV0208,2023-12-26,5,Family,British,5,Good breakfast; Great location near the beach,4,5,5,5,4,5
RV0209,2023-09-22,5,Couple,Portuguese,7,Great location near the beach,5,5,5,5,5,5
RV0210,2023-05-04,4,Friends,Dutch,6,Beautiful pool area; Comfortable beds; Excellent staff,4,4,3,5,4,4
RV0211,2023-12-20,4,Friends,Portuguese,1,Comfortable beds; Beautiful pool area,4,4,5,4,4,4
RV0212,2023-08-18,4,Couple,Spanish,5,Great location near the beach,5,4,3,4,3,4
RV0213,2023-05-31,5,Friends,Spanish,4,Beautiful pool area,5,5,5,5,5,5
RV0214,2023-12-21,5,Family,Portuguese,10,Clean rooms,4,5,5,5,5,5
RV0215,2023-12-06,5,Business,French,3,Clean rooms; Beautiful pool area; Comfortable beds,5,5,5,5,5,5
RV0216,2023-08-06,5,Couple,French,4,Good breakfast; Clean rooms; Comfortable beds,5,4,5,5,4,5
RV0217,2023-12-26,3,Business,Dutch,6,Good breakfast; Slow check-in,3,4,3,3,3,4
RV0218,2023-05-09,5,Friends,German,4,Great location near the beach,5,5,4,5,4,5
RV0219,2023-04-09,4,Couple,Dutch,7,Great location near the beach; Good breakfast,4,4,4,4,4,4
RV0220,2023-12-20,3,Couple,British,2,Beautiful pool area,3,3,3,3,4,3
RV0221,2023-04-21,5,Family,British,2,Beautiful pool area; Clean rooms; Good breakfast,5,5,5,5,5,5
RV0222,2023-02-21,3,Couple,British,3,Good breakfast,2,3,3,4,2,3
RV0223,2023-04-27,5,Family,Spanish,2,Excellent staff; Clean rooms,5,5,5,5,4,5
RV0224,2023-01-08,5,Family,British,6,Good breakfast; Excellent staff; Clean rooms,4,5,4,5,5,5
RV0225,2023-01-24,2,Solo,British,4,Expensive drinks,1,1,2,3,3,2
RV0226,2023-05-30,5,Solo,British,7,Excellent staff; Beautiful pool area; Great location near the beach,4,5,5,5,3,4
RV0227,2023-01-07,4,Family,German,5,Clean rooms; Beautiful pool area; Good breakfast,4,3,4,4,4,3
RV0228,2023-08-14,4,Couple,Portuguese,2,Excellent staff; Great location near the beach,3,4,4,4,3,4
RV0229,2023-05-10,5,Business,British,2,Great location near the beach; Comfortable beds,5,5,5,5,5,5
RV0230,2023-07-25,4,Solo,Portuguese,3,Great location near the beach; Good breakfast,4,4,4,4,4,4
RV0231,2023-11-19,1,Couple,Portuguese,4,Room could be larger; WiFi issues; Expensive drinks,1,1,2,1,1,1
RV0232,2023-10-16,5,Couple,German,4,Great location near the beach; Excellent staff,5,5,5,5,5,5
RV0233,2023-03-02,5,Friends,German,4,Beautiful pool area; Good breakfast; Excellent staff,5,5,5,4,5,5
RV0234,2023-09-25,2,Couple,Spanish,2,Limited parking; Slow check-in,2,2,3,2,1,2
RV0235,2023-06-02,5,Couple,Spanish,3,Beautiful pool area; Clean rooms; Great location near the beach,5,5,5,5,5,5
RV0236,2023-11-09,5,Couple,British,1,Great location near the beach; Excellent staff; Good breakfast,5,5,5,5,5,5
RV0237,2023-05-16,5,Solo,Other,7,Great location near the beach; Excellent staff; Good breakfast,5,5,5,4,4,5
RV0238,2023-03-30,5,Couple,British,3,Great location near the beach; Excellent staff; Comfortable beds,5,5,5,5,4,4
RV0239,2023-07-29,4,Family,Portuguese,4,Comfortable beds; Good breakfast,4,3,3,4,4,4
RV0240,2023-08-29,5,Couple,Portuguese,3,Great location near the beach; Excellent staff,5,5,5,5,5,5
RV0241,2023-05-28,5,Couple,Portuguese,3,Clean rooms; Beautiful pool area; Great location near the beach,4,4,5,5,4,5
RV0242,2023-12-18,4,Family,Portuguese,2,Clean rooms,4,5,4,3,4,3
RV0243,2023-11-17,4,Solo,British,3,Comfortable beds; Excellent staff; Beautiful pool area,4,4,4,5,5,4
RV0244,2023-02-28,1,Friends,Portuguese,2,WiFi issues; Slow check-in; Noise from street,1,1,1,1,1,1
RV0245,2023-03-14,5,Couple,Portuguese,2,Great location near the beach,5,5,4,5,5,5
RV0246,2023-03-26,5,Solo,Dutch,4,Good breakfast; Comfortable beds,4,5,4,5,4,5
RV0247,2023-05-28,4,Family,Dutch,3,Great location near the beach; Beautiful pool area,5,4,3,4,4,4
RV0248,2023-12-19,4,Couple,Other,5,Comfortable beds; Beautiful pool area,4,4,4,3,4,4
RV0249,2023-05-20,4,Family,French,2,Good breakfast; Beautiful pool area; Comfortable beds,4,4,3,4,4,4
